food_code,food_name,source,water_g_100g,energy_kcal_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,ash_g_100g,calcium_mg_100g,phosphorus_mg_100g,iron_mg_100g,sodium_mg_100g,potassium_mg_100g,copper_mg_100g,zinc_mg_100g,retinol_mcg_100g,beta_carotene_mcg_100g,carotene_total_mcg_100g,thiamin_mg_100g,riboflavin_mg_100g,niacin_mg_100g,vitamin_c_mg_100g,bdd_percent,tkpi_main_group,tkpi_group_code,category_code,category_name,category_source,food_name_clean,food_name_match,food_name_match_original,urt,urt_qty,urt_unit,gram_per_portion,is_processed_code,exists_in_urt,exists_in_manual_whitelist,remove_processed
DR069,"Daun simpur, segar",KZGPI-1990,"86,2",53,"3,2","2,5","7,6","1,6","0,9",228,194,"3,5",,,,,0,,3346,"0,02",,,5,100,D,DR,S,Sayur,tkpi_main_group,"daun simpur, segar",daun simpur,daun simpur,1 gelas,1.0,gelas,100,False,False,False,False
DR070,"Daun singkil, segar",KZGPI-1990,"80,9",68,2,1,"15,2","3,3","0,9",178,86,"2,1",,,,,,,6042,"0,02",,,3,70,D,DR,S,Sayur,tkpi_main_group,"daun singkil, segar",daun singkil,daun singkil,1 gelas,1.0,gelas,100,False,False,False,False
DR071,"Daun singkong, segar",KZGPI-1990,"84,4",50,"6,2","1,1","7,1","2,4","1,2",166,99,"1,3","16,5","23,1","0,1",2,0,3204,7052,"0,04","0,1","1,8",103,87,D,DR,S,Sayur,tkpi_main_group,"daun singkong, segar",daun singkong,daun singkong,1 gelas,1.0,gelas,100,False,False,False,False
DR072,"Daun singkong ambon, segar",DABM-1964,58,144,"12,7","1,2","25,2","10,2","2,9",165,54,"3,9","44,4","62,2","0,2","5,4",,8627,13000,"0,21",1,"4,2",220,87,D,DR,S,Sayur,tkpi_main_group,"daun singkong ambon, segar",daun singkong ambon,daun singkong ambon,1 gelas,1.0,gelas,100,False,False,False,False
DR073,"Daun singkong ampenan, segar",KZGMI-2001,"84,4",50,"6,2","1,1","7,1","2,4","1,2",352,123,"2,7",49,570,"0,2","1,3",,7917,,"0,5","0,1","1,6",103,87,D,DR,S,Sayur,tkpi_main_group,"daun singkong ampenan, segar",daun singkong ampenan,daun singkong ampenan,1 gelas,1.0,gelas,100,False,False,False,False
DR074,"Daun singkong kopang, segar",KZGMI-2001,"81,1",74,"6,3","0,7","10,7","4,6","1,2",142,115,"1,7",32,382,"0,2","1,5",,3882,,"0,5","0,5","1,9",211,87,D,DR,S,Sayur,tkpi_main_group,"daun singkong kopang, segar",daun singkong kopang,daun singkong kopang,1 gelas,1.0,gelas,100,False,False,False,False
DR075,"Daun sintrong, segar",KZGPI-1990,"88,5",36,"2,6","0,9","6,1","1,7","1,9",398,95,"9,3","64,1","444,4","0,1","0,4",0,10178,8868,"0,03","0,2","0,9",3,94,D,DR,S,Sayur,tkpi_main_group,"daun sintrong, segar",daun sintrong,daun sintrong,1 gelas,1.0,gelas,100,False,False,False,False
DR076,"Daun talas, segar",KZGPI-1990,"81,1",59,3,"0,4","13,5",3,2,236,50,"2,4",4,"854,1","0,4","0,5",0,3816,5740,"0,07","0,6",2,24,80,D,DR,S,Sayur,tkpi_main_group,"daun talas, segar",daun talas,daun talas,1 gelas,1.0,gelas,100,False,False,False,False
DR077,"Daun tespong, segar",DABM-1964,81,70,"2,9","0,3","13,9","2,3","1,9",155,65,"2,5","72,4",,"0,15","0,9",,171,2500,"0,05","0,7","1,4",21,60,D,DR,S,Sayur,tkpi_main_group,"daun tespong, segar",daun tespong,daun tespong,1 gelas,1.0,gelas,100,False,False,False,False
DR078,"Daun ubi kuning, segar",KZGMI-2001,"83,5",62,"3,7","0,3","11,1","6,4","1,4",170,40,"0,6",10,0,"0,2","0,5",,3564,,"0,3","0,3","1,2",4,75,D,DR,S,Sayur,tkpi_main_group,"daun ubi kuning, segar",daun ubi kuning,daun ubi kuning,1 gelas,1.0,gelas,100,False,False,False,False
DR079,"Daun ubi merah, segar",KZGPI-1990,"84,4",48,3,"0,3","10,8","1,4","1,5",80,81,"6,4","32,8","517,3",0,"0,4",0,5453,4697,"0,1","0,2","1,2",27,75,D,DR,S,Sayur,tkpi_main_group,"daun ubi merah, segar",daun ubi merah,daun ubi merah,1 gelas,1.0,gelas,100,False,False,False,False
DR080,"Daun ubi putih, segar",KZGMI-2001,"87,5",46,"2,8","0,2","8,2","4,8","1,3",120,50,"0,8",10,0,"0,2","0,5",,103,,"0,3","0,3","0,9",8,75,D,DR,S,Sayur,tkpi_main_group,"daun ubi putih, segar",daun ubi putih,daun ubi putih,1 gelas,1.0,gelas,100,False,False,False,False
DR081,"Daun ubi tinta, segar",KZGMI-2001,"85,1",55,"1,7","0,1","11,9","7,6","1,2",120,40,"0,6",10,0,"0,2","0,5",,516,,"0,2",0,0,7,75,D,DR,S,Sayur,tkpi_main_group,"daun ubi tinta, segar",daun ubi tinta,daun ubi tinta,1 gelas,1.0,gelas,100,False,False,False,False
DR082,"Eceng, segar",DABM-1964,93,19,1,"0,2","3,8","1,8",2,80,45,"3,7","44,8","634,1",,,,7,1000,"0,08","0,1","0,7",50,70,D,DR,S,Sayur,tkpi_main_group,"eceng, segar",eceng,eceng,1 gelas,1.0,gelas,100,False,False,False,False
DR083,"Gambas (oyong), segar",DABM-1964,"94,5",19,"0,8","0,2","4,1","1,3","0,4",19,33,"0,9","22,9","109,1",0,"0,1",,17,380,"0,03",0,"0,4",8,85,D,DR,S,Sayur,tkpi_main_group,"gambas (oyong), segar",gambas (oyong),gambas (oyong),1 gelas,1.0,gelas,100,False,False,False,False
DR084,"Genjer, segar",DABM-1964,90,35,"1,7","0,2","7,7","2,5","0,4",62,33,"2,1",64,"905,8",,,,,3800,"0,07","0,1","1,1",54,70,D,DR,S,Sayur,tkpi_main_group,"genjer, segar",genjer,genjer,1 gelas,1.0,gelas,100,False,False,False,False
DR085,"Jagung muda/ semi, segar",DABM-1964,"89,5",35,"2,2","0,1","7,4","1,9","0,8",7,100,"0,5",353,"230,2","0,1","0,8",0,23,200,"0,08","0,16","0,9",8,100,D,DR,S,Sayur,tkpi_main_group,"jagung muda/ semi, segar",jagung muda semi,jagung muda semi,1 gelas,1.0,gelas,100,False,False,False,False
DR086,Jamur encik,KZGMI-2001,"24,8",296,"9,4","1,1",62,,"2,7",5,277,"5,3",2,0,"0,2","3,1",,,,"1,1","0,1",,,95,D,DR,G,Gula,keyword_rule,jamur encik,jamur encik,jamur encik,,,,,False,False,False,False
DR087,"Jamur kuping, kering",DABM-1964,"14,9",294,16,"0,9","64,6","46,5","3,6",51,223,"6,7","173,8","726,1","0,29","5,5",0,11,0,"0,11","0,6","2,7",0,100,D,DR,G,Gula,keyword_rule,"jamur kuping, kering","jamur kuping, kering","jamur kuping, kering",,,,,False,False,False,False
DR088,"Jamur kuping, segar",DABM-1964,"93,7",21,"3,8","0,6","0,9","5,1",1,3,94,"1,7","17,3","33,4","0,19","0,1",0,1,0,"0,1","0,09","0,1",5,100,D,DR,G,Gula,keyword_rule,"jamur kuping, segar",jamur kuping,jamur kuping,,,,,False,False,False,False
DR089,"Jamur merang, segar",BKP,"91,5",30,"3,5","0,2",4,"2,4","0,8",14,117,1,"6,3",300,"0,3","0,8",,0,0,"0,02","0,2","0,5",0,100,D,DR,G,Gula,keyword_rule,"jamur merang, segar",jamur merang,jamur merang,,,,,False,False,False,False
DR090,"Jamur tiram, segar",BKP,"92,5",30,"1,9","0,1","5,5","3,6","0,6",9,83,"0,7",22,226,0,"0,8",,0,0,"0,3","0,2",1,0,100,D,DR,G,Gula,keyword_rule,"jamur tiram, segar",jamur tiram,jamur tiram,,,,,False,False,False,False
DR091,Jamur sagu,KZGMI-2001,"91,3",48,"1,9","3,2","2,8",1,"0,8",10,90,"0,6",100,440,"0,6","0,6",,0,,"0,2","0,2","6,5",,95,D,DR,G,Gula,keyword_rule,jamur sagu,jamur sagu,jamur sagu,,,,,False,False,False,False
DR092,"Jantung pisang, segar",DABM-1964,"90,2",32,"1,2","0,3","7,1","3,2","1,2",30,50,"0,1",3,524,"0,09","0,3",0,201,170,"0,05","0,03","0,8",10,25,D,DR,S,Sayur,tkpi_main_group,"jantung pisang, segar",jantung pisang,jantung pisang,1 gelas,1.0,gelas,100,False,False,False,False
DR093,"Jengkol, segar",KZGMI-2001,"52,7",192,"5,4","0,3","40,7","1,5","0,9",4,150,"0,7",60,241,"0,3","0,6",,,,"0,05","0,2","0,5",31,95,D,DR,S,Sayur,tkpi_main_group,"jengkol, segar",jengkol,jengkol,1 gelas,1.0,gelas,100,False,False,False,False
DR094,"Jotang, segar",DABM-1964,89,34,"1,9","0,3","7,1","3,5","1,7",162,41,4,"58,5","388,5","0,3","1,2",,2,3918,"0,03",,"0,4",20,70,D,DR,S,Sayur,tkpi_main_group,"jotang, segar",jotang,jotang,1 gelas,1.0,gelas,100,False,False,False,False
DR095,"Kabau, segar",KZGMI-2001,"67,2",130,"6,7","0,3","25,2","2,9","0,6",4,204,"0,5",1,"397,8","0,2","0,5",,165,,"0,8","0,1","0,3",16,95,D,DR,S,Sayur,tkpi_main_group,"kabau, segar",kabau,kabau,1 gelas,1.0,gelas,100,False,False,False,False
DR096,"Kacang mekah, polong, segar",KZGPI-1990,"93,6",22,"1,1",1,"3,4","1,1","0,9",63,296,1,"2,2","69,2","0,3",,0,197,116,"0,02",,"0,4",0,91,D,DR,S,Sayur,tkpi_main_group,"kacang mekah, polong, segar","kacang mekah, polong","kacang mekah, polong",1 gelas,1.0,gelas,100,False,False,False,False
DR097,"Kacang panjang, segar",KZGMI-2001,"91,8",31,"2,3","0,1","5,3","2,7","0,5",60,64,"0,6",30,213,"0,1","0,5",0,125,,"0,7","0,1","0,3",46,92,D,DR,S,Sayur,tkpi_main_group,"kacang panjang, segar",kacang panjang,kacang panjang,1 gelas,1.0,gelas,100,False,False,False,False
DR098,Kacang ranti polong,KZGPI-1990,"88,5",37,"3,1","0,2","7,9","2,5","0,3",103,126,"0,8",,,,,,,2312,"0,02",,,6,83,D,DR,S,Sayur,tkpi_main_group,kacang ranti polong,kacang ranti polong,kacang ranti polong,1 gelas,1.0,gelas,100,False,False,False,False
DR099,"Kalakai, segar",KZGMI-2001,"89,9",38,"2,4","0,2","6,6","5,8","0,9",18,90,"1,1",7,443,"0,4","0,9",,44,,"0,3","0,1",,8,70,D,DR,S,Sayur,tkpi_main_group,"kalakai, segar",kalakai,kalakai,1 gelas,1.0,gelas,100,False,False,False,False
DR100,"Kangkung, segar",KZGPI-1990,91,28,"3,4","0,7","3,9",2,1,67,54,"2,3","64,9","250,1","0,13","0,4",,2868,5542,"0,07","0,36",2,17,60,D,DR,S,Sayur,tkpi_main_group,"kangkung, segar",kangkung,kangkung,1 gelas,1.0,gelas,100,False,False,False,False
DR101,Kangkung tondano,KZGMI-2001,"88,5",43,"1,8","0,2","8,4","4,3","1,1",72,9,"0,7",30,361,"0,3","0,4",,2741,,"0,8","0,1","1,1",23,60,D,DR,S,Sayur,tkpi_main_group,kangkung tondano,kangkung tondano,kangkung tondano,1 gelas,1.0,gelas,100,False,False,False,False
DR102,"Kapri muda, segar",DABM-1964,"86,8",45,"3,3","0,2",9,"1,8","0,7",51,85,1,"1,7","118,4","0,09","0,7",,72,440,"0,2","0,1","0,9",49,80,D,DR,S,Sayur,tkpi_main_group,"kapri muda, segar",kapri muda,kapri muda,1 gelas,1.0,gelas,100,False,False,False,False
DR103,Karawila,KZGMI-2001,"93,7",25,"2,3","0,2","3,5","2,1","0,3",25,67,"0,3",8,"88,4","0,08","0,3",,21,,"0,1","0,1","0,4",39,80,D,DR,S,Sayur,tkpi_main_group,karawila,karawila,karawila,1 gelas,1.0,gelas,100,False,False,False,False
DR104,"Kecipir muda, segar",DABM-1964,"90,4",32,"2,9","0,2","5,8","5,5","0,7",63,37,"0,3","3,3","103,8","0,18","0,4",,261,595,"0,24","0,11","0,7",19,96,D,DR,S,Sayur,tkpi_main_group,"kecipir muda, segar",kecipir muda,kecipir muda,1 gelas,1.0,gelas,100,False,False,False,False
DR105,"Kecombrang, segar",KZGPI-1990,90,34,"0,9",1,"6,7","2,6","1,4",60,16,1,"47,1","650,6",,,0,0,73,0,"0,02","0,8",0,100,D,DR,S,Sayur,tkpi_main_group,"kecombrang, segar",kecombrang,kecombrang,1 gelas,1.0,gelas,100,False,False,False,False
DR106,"Kelawi, kluwih, segar",DABM-1964,70,118,"1,5","0,3","27,2",5,1,28,32,"0,9",2,"500,9","0,09","0,1",,0,20,"0,1","0,03","0,9",19,77,D,DR,S,Sayur,tkpi_main_group,"kelawi, kluwih, segar","kelawi, kluwih","kelawi, kluwih",1 gelas,1.0,gelas,100,False,False,False,False
DR107,"Kembang turi, segar",DABM-1964,"87,4",51,"1,8","0,6","9,6",5,"0,6",23,29,"0,9","22,4","275,3","0,15","0,9",,201,105,"0,13","0,12","0,6",41,83,D,DR,S,Sayur,tkpi_main_group,"kembang turi, segar",kembang turi,kembang turi,1 gelas,1.0,gelas,100,False,False,False,False
DR108,"Kerokot, segar",DABM-1964,93,26,"1,7","0,4","3,8",1,"1,1",103,39,"3,6","3,6","240,5","0,23","0,9",,0,2550,"0,03","0,09","0,2",25,80,D,DR,S,Sayur,tkpi_main_group,"kerokot, segar",kerokot,kerokot,1 gelas,1.0,gelas,100,False,False,False,False
DR109,"Ketimun, segar",KZGPI-1990,"97,9",8,"0,2","0,2","1,4","0,3","0,3",29,95,"0,8","1,7","57,1","0,02","0,1",0,18,314,"0,01","0,02","0,1",1,55,D,DR,S,Sayur,tkpi_main_group,"ketimun, segar",ketimun,ketimun,1 gelas,1.0,gelas,100,False,False,False,False
DR110,"Ketimun krai, segar",KZGPI-1990,"96,8",10,"0,5","0,2",2,"0,6","0,5",20,98,1,"9,7","82,1","0,03","0,1",0,19,21,"0,02","0,03","0,1",3,82,D,DR,S,Sayur,tkpi_main_group,"ketimun krai, segar",ketimun krai,ketimun krai,1 gelas,1.0,gelas,100,False,False,False,False
DR111,"Ketimun madura, segar",KZGPI-1990,"97,1",9,"0,5","0,1","1,9","0,7","0,4",15,102,"0,6","2,4","78,9","0,02","0,1",0,25,0,"0,02","0,02","0,1",5,89,D,DR,G,Gula,keyword_rule,"ketimun madura, segar",ketimun madura,ketimun madura,,,,,False,False,False,False
DR112,"Komak, segar",KZGMI-2001,"74,3",99,"3,3","0,1","21,2","10,3","1,1",50,99,"13,1",15,567,"0,2","0,6",,5,,"0,2","0,19","0,1",,80,D,DR,S,Sayur,tkpi_main_group,"komak, segar",komak,komak,1 gelas,1.0,gelas,100,False,False,False,False
DR113,Kool kembang,DABM-1964,"91,7",25,"2,4","0,2","4,9","1,6","0,8",22,72,"1,1","46,5",187,"0,04","0,3",,24,90,"0,11","0,09","0,6",69,57,D,DR,S,Sayur,tkpi_main_group,kool kembang,kool kembang,kool kembang,1 gelas,1.0,gelas,100,False,False,False,False
DR114,"Kool merah,kool putih",DABM-1964,"92,4",29,"1,4","0,2","5,3","1,9","0,9",46,31,"0,5","28,3","236,8","0,29","0,3",,46,80,"0,06","0,07","0,3",50,75,D,DR,S,Sayur,tkpi_main_group,"kool merah,kool putih","kool merah,kool putih","kool merah,kool putih",1 gelas,1.0,gelas,100,False,False,False,False
DR115,"Koro kerupuk, polong",DABM-1964,"67,2",128,"8,3","0,7","22,1",,"1,7",17,12,"2,7",,,,,,,80,"0,11",,,31,68,D,DR,S,Sayur,tkpi_main_group,"koro kerupuk, polong","koro kerupuk, polong","koro kerupuk, polong",1 gelas,1.0,gelas,100,False,False,False,False
DR116,"Koro wedus, polong",DABM-1964,88,46,3,"0,3","7,9","3,3","0,8",56,47,"1,1",2,"249,3","0,09","0,4",,66,870,"0,09","0,09","0,5",17,70,D,DR,S,Sayur,tkpi_main_group,"koro wedus, polong","koro wedus, polong","koro wedus, polong",1 gelas,1.0,gelas,100,False,False,False,False
DR117,"Kucai, segar",DABM-1964,"86,3",45,"2,2","0,3","10,3","4,8","0,9",52,50,"1,1","21,4","439,5","0,11","0,5",,2685,40,"0,11","0,2","1,8",17,52,D,DR,S,Sayur,tkpi_main_group,"kucai, segar",kucai,kucai,1 gelas,1.0,gelas,100,False,False,False,False
DR118,"Kucai muda (lokio), segar",DABM-1964,86,42,"3,8","0,6","7,8","4,9","1,8",76,91,"2,5","21,8","449,1","0,11","0,5",,2744,500,"0,11","0,2","1,8",59,100,D,DR,S,Sayur,tkpi_main_group,"kucai muda (lokio), segar",kucai muda (lokio),kucai muda (lokio),1 gelas,1.0,gelas,100,False,False,False,False
DR119,Kulit melinjo,KZGPI-1990,"71,9",111,"4,5","1,1","20,7",5,"1,8",117,179,"2,6",,,,,0,,1267,"0,07",,,7,100,D,DR,S,Sayur,tkpi_main_group,kulit melinjo,kulit melinjo,kulit melinjo,1 gelas,1.0,gelas,100,False,False,False,False
DR120,"Kundur, segar",KZGMI-2001,94,22,"0,4","0,2","4,7","1,3","0,7",3,54,"0,5",2,200,"0,1","0,3",,7,,"0,1","0,03","0,4",1,57,D,DR,S,Sayur,tkpi_main_group,"kundur, segar",kundur,kundur,1 gelas,1.0,gelas,100,False,False,False,False
DR121,"Labu air, segar",DABM-1964,95,19,"0,6","0,2","3,8","0,6","0,4",12,18,"0,6","2,2","168,2","0,03","0,8",,11,70,"0,04","0,02","0,4",10,80,D,DR,S,Sayur,tkpi_main_group,"labu air, segar",labu air,labu air,1 gelas,1.0,gelas,100,False,False,False,False
DR122,"Labu kuning, segar",KZGMI-2001,"86,6",51,"1,7","0,5",10,"2,7","1,2",40,180,"0,7",280,220,"0,35","1,5",,1569,,"0,2",0,"0,1",2,74,D,DR,S,Sayur,tkpi_main_group,"labu kuning, segar",labu kuning,labu kuning,1 gelas,1.0,gelas,100,False,False,False,False
DR123,"Labu siam, segar",DABM-1964,"92,3",30,"0,6","0,1","6,7","6,2","0,3",14,25,"0,5","2,7","167,1","0,16",1,,48,20,"0,02",0,"0,6",18,83,D,DR,S,Sayur,tkpi_main_group,"labu siam, segar",labu siam,labu siam,1 gelas,1.0,gelas,100,False,False,False,False
DR124,"Labu waluh, segar",DABM-1964,"91,2",32,"1,1","0,1","6,6","0,5",1,45,64,"1,4",1,"356,2","0,13","0,3",,712,180,"0,08","0,12","0,6",52,77,D,DR,S,Sayur,tkpi_main_group,"labu waluh, segar",labu waluh,labu waluh,1 gelas,1.0,gelas,100,False,False,False,False
DR125,"Lantar, segar",KZGMI-2001,"91,2",34,"2,2","0,3","5,5","2,9","0,8",10,58,"0,4",3,155,"0,2","0,4",,38,,"0,3","0,07","0,4",4,,D,DR,S,Sayur,tkpi_main_group,"lantar, segar",lantar,lantar,1 gelas,1.0,gelas,100,False,False,False,False
DR126,"Lobak, segar",DABM-1964,"94,1",21,"0,9","0,1","4,2","1,4","0,7",35,26,"0,6","49,3","109,3","0,03","0,2",,0,10,"0,03","0,04","0,3",32,87,D,DR,S,Sayur,tkpi_main_group,"lobak, segar",lobak,lobak,1 gelas,1.0,gelas,100,False,False,False,False
DR127,"Lumai/Leunca, segar",KZGMI-2001,"90,5",38,"1,1","0,3","7,6",2,"0,5",7,55,1,2,,"0,1","0,3",,25,,"0,2","0,1","0,6",17,95,D,DR,S,Sayur,tkpi_main_group,"lumai/leunca, segar",lumai leunca,lumai leunca,1 gelas,1.0,gelas,100,False,False,False,False
DR128,"Melinjo, segar",DABM-1964,80,66,5,"0,7","13,3",,1,163,75,"2,8",,,,,,,1000,"0,1",,,100,60,D,DR,S,Sayur,tkpi_main_group,"melinjo, segar",melinjo,melinjo,1 gelas,1.0,gelas,100,False,False,False,False
DR129,Mostarda metan- sawi,KZGMI-2001,"91,4",33,"2,3","0,5","4,7","1,8","1,1",60,30,"3,1",20,100,"0,1","0,4",,1575,,"0,2","0,1","0,1",12,85,D,DR,S,Sayur,tkpi_main_group,mostarda metan- sawi,mostarda metan- sawi,mostarda metan- sawi,1 gelas,1.0,gelas,100,False,False,False,False
DR130,"Nangka muda, segar",DABM-1964,"85,4",57,2,"0,4","11,3","8,3","0,9",45,29,"0,5","1,1","246,5","0,04","0,1",,21,25,"0,07","0,06","0,7",9,80,D,DR,S,Sayur,tkpi_main_group,"nangka muda, segar",nangka muda,nangka muda,1 gelas,1.0,gelas,100,False,False,False,False
DR131,"Paria putih, segar",KZGPI-1990,"94,4",19,1,"0,4","3,6","1,3","0,6",31,65,"0,9","4,7","277,7","0,03","0,8",0,197,80,"0,18","0,04","0,4",58,80,D,DR,S,Sayur,tkpi_main_group,"paria putih, segar",paria putih,paria putih,1 gelas,1.0,gelas,100,False,False,False,False
DR132,"Pepare ular, segar",KZGMI-2001,"95,1",19,"0,6","0,1","3,9",1,"0,3",20,10,"0,4",130,30,"0,1","0,1",,69,,"0,1","0,1","0,1",9,97,D,DR,S,Sayur,tkpi_main_group,"pepare ular, segar",pepare ular,pepare ular,1 gelas,1.0,gelas,100,False,False,False,False
DR133,"Pepaya muda, segar",DABM-1964,"92,3",29,"2,1","0,1","4,9","2,1","0,6",50,16,"0,4","21,9","211,2","0,01",0,,0,50,"0,02","0,03","0,3",19,65,D,DR,S,Sayur,tkpi_main_group,"pepaya muda, segar",pepaya muda,pepaya muda,1 gelas,1.0,gelas,100,False,False,False,False
DR134,"Petai, segar",KZGMI-2001,"77,2",92,"5,4","1,1","15,2",2,"1,1",14,170,"1,6",55,221,"0,2","0,8",,114,,"0,8","0,1","6,1",34,36,D,DR,S,Sayur,tkpi_main_group,"petai, segar",petai,petai,1 gelas,1.0,gelas,100,False,False,False,False
DR135,"Peterseli, segar",DABM-1964,"83,9",53,"3,7",1,9,0,"2,4",193,84,"4,3","18,2","1125,6","0,2","1,4",,2940,8230,"0,11","0,29","0,7",193,95,D,DR,S,Sayur,tkpi_main_group,"peterseli, segar",peterseli,peterseli,1 gelas,1.0,gelas,100,False,False,False,False
DR136,"Pucuk lumai/daun leunca, segar",KZGMI-2001,91,33,"4,5","0,4","2,8",,"1,3",13,75,"2,9",2,0,"0,2","0,6",,,,"0,5","0,1",,41,70,D,DR,S,Sayur,tkpi_main_group,"pucuk lumai/daun leunca, segar",pucuk lumai daun leunca,pucuk lumai daun leunca,1 gelas,1.0,gelas,100,False,False,False,False
DR137,"Putri malu, segar",KZGMI-2001,"80,2",76,"3,6","0,3","14,6","7,1","1,3",119,84,"3,3",1,631,"0,6","1,4",,4762,,"0,6","0,6",,6,,D,DR,S,Sayur,tkpi_main_group,"putri malu, segar",putri malu,putri malu,1 gelas,1.0,gelas,100,False,False,False,False
DR138,"Rebung, segar",KZGMI-2001,"93,3",25,"0,8","0,1","5,3","9,7","0,5",3,5,"0,5",3,206,"0,1","0,4",,10,,"0,2","0,07","0,5",0,28,D,DR,S,Sayur,tkpi_main_group,"rebung, segar",rebung,rebung,1 gelas,1.0,gelas,100,False,False,False,False
DR139,"Rimbang, segar",KZGMI-2001,"80,8",75,"1,6","0,6","15,8",10,"1,2",55,97,"0,6",20,234,"0,4","0,4",,51,,"0,4","0,1","1,3",38,95,D,DR,S,Sayur,tkpi_main_group,"rimbang, segar",rimbang,rimbang,1 gelas,1.0,gelas,100,False,False,False,False
DR140,Rumput laut,KZGMI-2001,87,41,"1,4","0,3","8,1","2,2","3,2",80,20,"1,6",250,380,"0,2","0,4",,1958,,"0,2",0,"0,1",7,100,D,DR,S,Sayur,tkpi_main_group,rumput laut,rumput laut,rumput laut,1 gelas,1.0,gelas,100,False,False,False,False
DR141,"Sawi, segar",DABM-1964,"92,2",28,"2,3","0,3",4,"2,5","1,2",220,38,"2,9","21,9","436,5","0,12","0,2",,2042,6460,"0,09","0,23","0,7",102,87,D,DR,S,Sayur,tkpi_main_group,"sawi, segar",sawi,sawi,1 gelas,1.0,gelas,100,False,False,False,False
DR142,"Sawi putih/ pecai, segar",KZGPI-1990,"96,6",9,1,"0,1","1,7","0,8","0,6",56,42,"1,1",5,"193,1","0,05","0,1",0,862,832,"0,05","0,18","0,4",3,79,D,DR,S,Sayur,tkpi_main_group,"sawi putih/ pecai, segar",sawi putih pecai,sawi putih pecai,1 gelas,1.0,gelas,100,False,False,False,False
DR143,"Sawi taiwan, segar",KZGMI-2001,"91,8",30,"1,9","0,5","4,4","2,7","1,4",100,58,"1,6",27,217,"0,1","0,7",,1340,,"0,2","0,1","0,6",33,85,D,DR,S,Sayur,tkpi_main_group,"sawi taiwan, segar",sawi taiwan,sawi taiwan,1 gelas,1.0,gelas,100,False,False,False,False
DR144,"Sawi tanah, segar",KZGMI-2001,"94,9",19,"1,3","0,2","2,9","2,2",1,92,45,"1,2",17,145,"0,1","0,4",,815,,"0,2","0,1","0,1",36,85,D,DR,S,Sayur,tkpi_main_group,"sawi tanah, segar",sawi tanah,sawi tanah,1 gelas,1.0,gelas,100,False,False,False,False
DR145,"Selada, segar",DABM-1964,"94,8",18,"1,2","0,2","2,9","1,8","0,9",22,25,"0,5","18,6","186,4","0,03","0,2",,1526,540,"0,04","0,13","0,4",8,69,D,DR,S,Sayur,tkpi_main_group,"selada, segar",selada,selada,1 gelas,1.0,gelas,100,False,False,False,False
DR146,"Selada air, segar",KZGPI-1990,"93,3",17,"3,1","0,2","2,2","0,7","1,2",95,152,"2,4","64,9","260,7","0,11","0,2",0,1230,3727,"0,09","0,14","0,7",56,70,D,DR,S,Sayur,tkpi_main_group,"selada air, segar",selada air,selada air,1 gelas,1.0,gelas,100,False,False,False,False
DR147,"Seledri, segar",DABM-1964,93,23,1,"0,1","4,6",2,"1,3",50,40,1,"64,5","258,8","0,08","0,4",,63,130,"0,03","0,07","0,4",11,63,D,DR,S,Sayur,tkpi_main_group,"seledri, segar",seledri,seledri,1 gelas,1.0,gelas,100,False,False,False,False
DR148,"Taoge, segar",KZGPI-1990,"90,4",34,"3,7","1,2","4,3","1,1","0,4",166,74,"0,8","18,9","93,3","0,16","0,4",,41,20,"0,09","0,15","1,1",5,100,D,DR,S,Sayur,tkpi_main_group,"taoge, segar",taoge,taoge,1 gelas,1.0,gelas,100,False,False,False,False
DR149,"Taoge kacang kedelai, segar",DABM-1964,81,76,9,"2,6","6,4","0,7",1,50,65,1,"4,7","212,4","0,26","0,7",,0,110,"0,23","0,19","1,2",15,100,D,DR,S,Sayur,tkpi_main_group,"taoge kacang kedelai, segar",taoge kacang kedelai,taoge kacang kedelai,1 gelas,1.0,gelas,100,False,False,False,False
DR150,"Taoge kacang tunggak, segar",DABM-1964,88,40,5,"0,2","5,8","2,6",1,57,88,1,"2,1","226,8","0,07","0,5",,299,0,"0,07","0,08","0,8",15,90,D,DR,S,Sayur,tkpi_main_group,"taoge kacang tunggak, segar",taoge kacang tunggak,taoge kacang tunggak,1 gelas,1.0,gelas,100,False,False,False,False
DR151,"Tebu terubuk (lilin), segar",DABM-1964,91,30,"4,6","0,4",3,"0,8",1,40,80,2,"698,6",,"0,2","1,1",,12,0,"0,08","0,2","1,2",50,20,D,DR,S,Sayur,tkpi_main_group,"tebu terubuk (lilin), segar",tebu terubuk (lilin),tebu terubuk (lilin),1 gelas,1.0,gelas,100,False,False,False,False
DR152,"Tekokak, segar",DABM-1964,89,34,2,"0,1","7,9","4,9",1,50,30,2,"2,9","333,3","0,12","0,2",,23,750,"0,08","0,05","0,9",8,95,D,DR,S,Sayur,tkpi_main_group,"tekokak, segar",tekokak,tekokak,1 gelas,1.0,gelas,100,False,False,False,False
DR153,"Tekokak, kering",DABM-1964,"12,3",302,"8,3","1,7","72,6","21,2","8,1",370,180,"22,2","8,5",0,"1044,2",1,,187,750,"0,4","0,17","5,1",0,100,D,DR,S,Sayur,tkpi_main_group,"tekokak, kering","tekokak, kering","tekokak, kering",1 gelas,1.0,gelas,100,False,False,False,False
